COUNTRY_NAME,STATE_NAME,LATITUDE,LONGITUDE,TRANS_RATE,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7
United States of America,Texas,31.96859900000000,-99.90181300000000,2,65978,69997,74884,80828,88056,96845,107532
United States of America,Texas,31.96859900000000,-99.90181300000000,3,67921,75048,84728,97873,115719,139935,172779
United States of America,Texas,31.96859900000000,-99.90181300000000,4,70088,81333,98386,124231,163373,222580,311979
United States of America,Utah,39.32098000000000,-111.09373100000000,0.5,9654,9778,9906,10039,10175,10315,10459
United States of America,Utah,39.32098000000000,-111.09373100000000,1,9781,10052,10346,10667,11016,11396,11810
United States of America,Utah,39.32098000000000,-111.09373100000000,2,10058,10697,11474,12419,13567,14963,16660
United States of America,Utah,39.32098000000000,-111.09373100000000,3,10367,11501,13039,15127,17959,21799,27002
United States of America,Utah,39.32098000000000,-111.09373100000000,4,10712,12499,15208,19309,25513,34880,48987
United States of America,Vermont,37.43157300000000,-78.65689400000000,0.5,979,981,983,986,988,990,993
United States of America,Vermont,37.43157300000000,-78.65689400000000,1,981,986,991,997,1003,1009,1016
United States of America,Vermont,37.43157300000000,-78.65689400000000,2,986,997,1011,1027,1047,1071,1100
United States of America,Vermont,37.43157300000000,-78.65689400000000,3,991,1011,1038,1074,1123,1189,1280
United States of America,Vermont,37.43157300000000,-78.65689400000000,4,997,1028,1075,1146,1254,1418,1666
United States of America,Virginia,44.55880300000000,-72.57784100000000,0.5,44311,45031,45773,46538,47325,48136,48972
United States of America,Virginia,44.55880300000000,-72.57784100000000,1,45049,46615,48318,50173,52191,54387,56777
United States of America,Virginia,44.55880300000000,-72.57784100000000,2,46653,50349,54839,60294,66918,74959,84717
United States of America,Virginia,44.55880300000000,-72.57784100000000,3,48440,54990,63870,75900,92183,114194,143900
United States of America,Virginia,44.55880300000000,-72.57784100000000,4,50433,60758,76369,99934,135417,188654,268087
United States of America,Washington,47.75107400000000,-120.74013900000000,0.5,21503,21662,21825,21993,22167,22345,22530
United States of America,Washington,47.75107400000000,-120.74013900000000,1,21666,22010,22386,22794,23239,23724,24251
United States of America,Washington,47.75107400000000,-120.74013900000000,2,22019,22833,23823,25028,26493,28274,30439
United States of America,Washington,47.75107400000000,-120.74013900000000,3,22412,23857,25818,28482,32098,37005,43663
United States of America,Washington,47.75107400000000,-120.74013900000000,4,22852,25130,28586,33823,41756,53761,71904
United States of America,West Virginia,43.78444000000000,-88.78786800000000,0.5,2016,2045,2074,2104,2135,2167,2199
United States of America,West Virginia,43.78444000000000,-88.78786800000000,1,2045,2107,2174,2247,2326,2412,2507
United States of America,West Virginia,43.78444000000000,-88.78786800000000,2,2108,2254,2430,2645,2907,3225,3612
United States of America,West Virginia,43.78444000000000,-88.78786800000000,3,2179,2436,2786,3262,3908,4786,5977
